name,wins,losses,draws,total,win_rate,elo,elo_change
AdvancedBot,34,1,21,56,0.6071428571428571,1702.0,202.0
Gemini 3.0 Flash,33,4,19,56,0.5892857142857143,1646.0,146.0
MediumBot,26,8,22,56,0.4642857142857143,1618.0,118.0
Claude Sonnet 4.5,19,13,24,56,0.3392857142857143,1508.0,8.0
SimpleBot,1,20,35,56,0.017857142857142856,1410.0,-90.0
Claude Haiku 4.5,3,22,31,56,0.05357142857142857,1389.0,-111.0
ChatGPT 5 Mini,2,22,32,56,0.03571428571428571,1386.0,-114.0
Gemini 2.0 Flash,0,28,28,56,0.0,1341.0,-159.0
